user_id,user_name,tweet_id,tweet_text
741077262250835968,Crypto_GA_Arena,1535223731366563840,🎉 Our First WL Giveaway + ($40) NFT 🎁❗️\n30 lucky peas will win WL &amp; 1 super lucky pea will win a pea for free!\n\nTo Enter:\n- Follow @pea_pets \n- Like &amp; RT\n- Tag frens who would like a pet pea 💚\n\n⏰ 24 Hours \n#PeaPets #NFTCommunity #NFTs #NFTGiveaway #NFT #NFTGiveaways #Giveaway https://t.co/tANljBGS8G
464012781,bainesy4886,1532500272458924032,$75 🚀 12 hours\n\nMust retweet this &amp; follow @hawexdao ($50)\n\nExtra $25, join https://t.co/ZEP6Z2bZk5
758614054231482368,CryptoElwis,1533455748696621056,$25 in 4 hours\nTurn on Notifications🔔 - RT - Follow
1357593107483660288,gnarhost,1527677125553057792,$5 in 8 HRS \n\nRT this + RT https://t.co/E4wZwr0oak
1346766180720275456,GAContest_,1535538200055193600,$100 Giving in 24 HOURS\n\nRT &amp; Follow @katherine_Promo 🔔
3191032983,CryptoKing1st,1535531033004630018,$100 IN 8 HOURS\n\n- RT &amp; Join Discord (Post Proof)\nhttps://t.co/w5PhWjHMCV
346138696,RyZeJpeg,1529532002633908224,🎁 Ape ONE Giveaway 🎁\n\n🏆 5 WL spots\n🏆 1 $SOL ($50)\n\nTo enter:\n1️⃣ Follow @Apeone_nft\n2️⃣ RT + Like\n3️⃣ Tag 3 friends\n\n⏳ Ends in 48 hours. ⏳\n#Solana #SolanaGiveaway https://t.co/NQmUrVVqX9
3421134838,ValleryMerk,1501141835267198977,I’ve teamed up with @HighTechoo they were nice enough to give me 2 WL spots to give to you guys + $50 so will be 3 places📖\n\nTo enter👇\n-Follow @KseniaPromotion @HighTechoo \n-Like &amp; RT\n-Tag 3 friends \n\nWinners announced in 48 hours!\n\n#NFT #NFTCommunity #NFTs\n#NFTDrop #Solana https://t.co/qDEFALBCSn
1053318427639574528,prctiu,1535534673748586496,$20 | 280.000 IDR IN 3HOURS🍎\n\n~ rt, like &amp; follow\n\nhttps://t.co/sEpMAzdazs\n\nhttps://t.co/cqdTajvvKT
1460380775573032963,CryptoPunkRich,1535647467798159360,$29336 to First 3000 People will receive #ETH in 96Hrs  , just follow, like, and retweets this &amp; \n\n💰🎁Drop your wallet address https://t.co/9dEmP6J8Sw
432927724,yumcrypto,1534825015602216960,ClubMetaHouse Giveaway\n\n$100 || 1.4JT IDR || in 24 Hours\n\n- RT &amp; Follow @ClubMetahouse + comment on 📌\n- Join Discord 👇👇 https://t.co/EjnZBYICM6 \n(Post proof in reply, no crop) https://t.co/taRcldbb6n
1228057394082652160,SlothNFT_,1522789989322436608,🔥 MEGA #GIVEAWAY 🔥\n\n Prizes:\n🏆 5x Loonbirds #NFT ~ $1200 💵\n🏆 5x $50 $ETH ~ $250 💵\n🏅 25x WL spots\n\n❕ Rules:\n1⃣ Follow @loonbirds_xyz \n2⃣ Like &amp; Retweet\n3⃣ Join Discord: https://t.co/gxGpE6OM24\n4️⃣ Tag 3 friends\n\n⏰ 48 Hrs. #NFTs #NFTGiveaway #NFTGiveaways #NFTCommunity https://t.co/zQg5ESYa8Q
1237650752555716608,YunaPromotes_,1535591336522330113,$50 ~ 735K | 6 HOURS ⏳\n\n• RT &amp; Follow @ChrisSpinsSlots
980799282168000512,Barbiehost,1527516489758089216,$75 Giveaway | 48Hours\n\n✅ Rt &amp; Follow @cosmos_heroes +\n      Like &amp; RT their pin📌
1399024624302702602,APICPUNK,1535648141248237570,$29336 to First 3000 People will receive #ETH in 96Hrs  , just follow, like, and retweets this &amp; \n\n💰🎁Drop your wallet address https://t.co/9dEmP6J8Sw
214406252,CryptoFeather_,1535176865463549952,$10 | 135.000 IDR | 500PHP | ⌚ 4 HOURS\n\n– RT, like &amp; follow @DegenspySol
